,price,accommodates,host_listings_count,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm
price,1.0,0.39435706111713287,0.12800914606042632,0.24272202862958586,0.2797271685257584,0.35155851990678716,0.13582646977526358,0.42939510990587876,0.34725361335469634,0.09816524292427069,0.08763311177000338,0.11110967378554369,-0.09666438641278836,-0.07436648146516933
accommodates,0.39435706111713287,1.0,-0.052291768859789256,0.3630662153953781,0.6838024260903951,0.8787707803122184,0.14949537452066497,0.5493322176006092,0.6383321557895472,0.0953000545212277,0.056132173334903404,-0.04524151686427903,0.13255937673778456,0.21473847308952576
host_listings_count,0.12800914606042632,-0.052291768859789256,1.0,-0.013977982066248252,-0.08971883877268634,-0.06316460854726118,-0.04301729736387188,0.2572964435760725,-0.054587466686803365,-0.163073243405868,0.05818980791563451,0.23151782662398146,-0.1625669245239591,-0.1894776894902276
bathrooms,0.24272202862958586,0.3630662153953781,-0.013977982066248252,1.0,0.5300338734679043,0.3676512747717636,0.06265631854110017,0.2148300619676425,0.28272999235425134,0.018538358263915675,0.11125631995219507,0.043714141348309324,-0.010338081670107527,0.03760463074647551
bedrooms,0.2797271685257584,0.6838024260903951,-0.08971883877268634,0.5300338734679043,1.0,0.6732291308406302,0.11031757662674675,0.3908308680409435,0.4772976281670757,0.08881105496001332,0.12273710018928147,-0.0018874066578422406,0.02928840464343855,0.08228080737702216
beds,0.35155851990678716,0.8787707803122184,-0.06316460854726118,0.3676512747717636,0.6732291308406302,1.0,0.1592509268144015,0.4860487403330596,0.6238664906365474,0.11682655455838854,0.056264807389145334,-0.046871639612982734,0.10260899538727533,0.18163156328334068
security_deposit,0.13582646977526358,0.14949537452066497,-0.04301729736387188,0.06265631854110017,0.11031757662674675,0.1592509268144015,1.0,0.2142609892044298,0.12861857347912975,0.2029758028046615,0.04032230598484109,-0.11023327922175763,0.013614172361172426,0.017448431998406837
cleaning_fee,0.42939510990587876,0.5493322176006092,0.2572964435760725,0.2148300619676425,0.3908308680409435,0.4860487403330596,0.2142609892044298,1.0,0.4824370877599826,0.08571534564424259,0.21826159232377706,0.11634656598869775,-0.0902477606585282,-0.04342640209198414
guests_included,0.34725361335469634,0.6383321557895472,-0.054587466686803365,0.28272999235425134,0.4772976281670757,0.6238664906365474,0.12861857347912975,0.4824370877599826,1.0,0.2729109280126829,0.18520773343720182,0.004144930379155688,0.10514467987885427,0.18862000510981217
extra_people,0.09816524292427069,0.0953000545212277,-0.163073243405868,0.018538358263915675,0.08881105496001332,0.11682655455838854,0.2029758028046615,0.08571534564424259,0.2729109280126829,1.0,-0.060892167614472345,-0.0372125976417537,0.05193358479275315,0.07814472622382154
minimum_nights,0.08763311177000338,0.056132173334903404,0.05818980791563451,0.11125631995219507,0.12273710018928147,0.056264807389145334,0.04032230598484109,0.21826159232377706,0.18520773343720182,-0.060892167614472345,1.0,0.10849548419075826,-0.05768328600989993,-0.05073446024416797
maximum_nights,0.11110967378554369,-0.04524151686427903,0.23151782662398146,0.043714141348309324,-0.0018874066578422406,-0.046871639612982734,-0.11023327922175763,0.11634656598869775,0.004144930379155688,-0.0372125976417537,0.10849548419075826,1.0,-0.1599796796472643,-0.1526549693884725
number_of_reviews,-0.09666438641278836,0.13255937673778456,-0.1625669245239591,-0.010338081670107527,0.02928840464343855,0.10260899538727533,0.013614172361172426,-0.0902477606585282,0.10514467987885427,0.05193358479275315,-0.05768328600989993,-0.1599796796472643,1.0,0.7381512487880011
number_of_reviews_ltm,-0.07436648146516933,0.21473847308952576,-0.1894776894902276,0.03760463074647551,0.08228080737702216,0.18163156328334068,0.017448431998406837,-0.04342640209198414,0.18862000510981217,0.07814472622382154,-0.05073446024416797,-0.1526549693884725,0.7381512487880011,1.0
